Feature,Coefficient
MedInc,0.4486749096657175
HouseAge,0.009724257517905038
AveRooms,-0.12332334282795937
AveBedrms,0.7831449067929716
Population,-2.0296205801330347e-06
AveOccup,-0.003526318487134326
Latitude,-0.4197924865883591
Longitude,-0.4337080649639867
